"Path","Tier","Title","Summary","SummaryLen","TagCount"
"docs\explanation\design\ui-design-agent-execution-plan.md","important","ui-design-agent-execution-plan","鍓╀綑浠诲姟鎬昏锛?2 椤癸紙鍙苟琛?8 缁勶級","26","9"
"docs\how-to\code-review-guide.md","reference","code-review-guide","缁存姢鑰?*: 璧勬繁寮€鍙戝伐绋嬪笀","19","5"
"docs\prompts\README.md","important","README","V9 的 AI 体系采用三层调用栈 + 双引擎评分架构：","28","5"
"docs\reference\04-ui-ux-specs.md","important","04. UI/UX 瑙勮寖","褰撳墠瀹炵幇閲囩敤 Kimi 缁忓吀娣辫壊甯冨眬锛?","26","5"
"docs\reference\adr-mcp-server-lifecycle.md","important","adr-mcp-server-lifecycle","V9 项目 MCP 层经历了从 18 个 Server 到 13 个 Server 的治理过程。在此过程中暴露以下问题：","60","4"
"docs\reference\agent-audit-report.md","reference","agent-audit-report","Date：2026-06-27...","18","5"
"docs\reference\ai-center-contract.md","important","ai-center-contract","定义 ai-center 子域的接口契约、职责边界、数据流与依赖关系。","35","4"
"docs\reference\ai-memory-layer.md","important","ai-memory-layer","为 AI 辅助开发工具（Claude Code / Cursor / Trae 等）提供可检索的项目上下文，","54","4"
"docs\reference\CODE-REVIEW.md","reference","code-review","## 一、代码审查层级体系 ### 1.1 三级审查体系","28","6"
"docs\reference\dual-strategy-dataflow-spec.md","important","V9 双策略体系与数据流架构规格","系统数据流遵循 '从下到上采集、从上到下决策' 原则：","27","8"
"docs\reference\release-notes.md","important","release-notes","发布说明：汇总各已发布版本的核心变更、质量指标与升级须知。","29","5"
"docs\reference\stock-analysis-contract.md","important","stock-analysis-contract","","0","5"
"docs\reference\stockpool-contract.md","important","stockpool-contract","","0","6"
"docs\reference\ui-remediation-tracker.md","reference","ui-remediation-tracker","## 〇、本轮已落地动作（2026-07-08 上午）","27","5"
"docs\reference\v10-architecture-alignment.md","important","V10 架构白皮书与 V9 对齐报告","V10 20 个 Store 中，V9 已有或近期可扩展的 Store：","36","4"
"docs\reference\v9-system-blueprint.md","important","v9-system-blueprint","愿景：成为中国 A 股个人投资者的研究基础设施 — 不替代券商交易软件，而是成为研究、分析、决策、复盘的独立工具。","57","4"
"docs\reference\文件整理清单.md","important","文件整理清单","V9 项目文件整理清单：各目录文件的归类、保留与处置记录。","29","5"
"docs\reports\audit\quality-audit-plan.md","reference","quality-audit-plan","quality-audit-plan report","25","5"
"docs\reports\audit\v9-架构缺陷与整改行动清单.md","reference","v9-架构缺陷与整改行动清单","来源文档： - `../retrospectives/v9-current-state-review.md`（当前状态梳理） -...","67","4"
