"Domain","Type","Path","Title","Tier","Correct_Type","Correct_Domain","Notes"
"data","reference","reference/data-collection/data-definition.md","数据采集模块数据字典","standard","","",""
"data","reference","modules/data-layer-overview.md","数据层总览","standard","","",""
"data","reports","reports/retrospectives/data-collection-task-list.md","数据采集模块开发任务清单","standard","","",""
"data","reports","reports/retrospectives/v9-data-blueprint-task-tracking.md","V9 数据关系蓝图任务跟踪计划","reference","","",""
"frontend","explanation","explanation/kimi-webbridge.md","Kimi WebBridge 插件","standard","","",""
"frontend","explanation","explanation/design/widget-integration-checklist.md","驾驶舱 Widget 集成检查清单","standard","","",""
"frontend","how-to","how-to/widget-development-guide.md","Widget 开发指南","standard","","",""
"frontend","how-to","how-to/how-to-add-widget.md","如何新增一个 Widget（WidgetShell + 事件总线）","standard","","",""
"frontend","reference","reference/chart-integration.md","V9 图表组件集成规格","important","","",""
"frontend","reference","reference/ui-remediation-tracker.md","ui-remediation-tracker","reference","","",""
"frontend","reports","reports/retrospectives/design-tokens-implementation-report.md","Design Tokens 系统实施事后分析报告","standard","","",""
"frontend","reports","reports/retrospectives/2026-07-09-route-registration-gap-report.md","路由注册缺失报告","standard","","",""
"product","explanation","explanation/production-release-checklist-SKILL.md","体系化上线测试检查清单 Skill","standard","","",""
"product","explanation","explanation/01-vision-and-goals.md","01. 愿景与目标","standard","","",""
"product","reference","reference/autonomous-workflow-user-guide.md","V9 自主工作流使用指南","standard","","",""
"product","reference","team-handbook/05-competitive-analysis.md","TODO-ADD-TITLE","standard","","",""
"project","explanation","explanation/completeness-profile-batch2.md","V9 模块完成度剖面图 — 批次 B（输入舱）","standard","","",""
"project","explanation","explanation/README.md","V9 智能投研复盘系统 — 文档中心（docs/ 总入口）","reference","","",""
"project","how-to","how-to/README.md","TODO-ADD-TITLE","reference","","",""
"project","how-to","how-to/hooks-guide.md","自定义 Hook 使用指南","standard","","",""
"project","meta","00-meta/deprecated-docs/old-versions/deployment-v1.0.0.md","Deployment Guide — V9 智能投研复盘系统部署基线","standard","","",""
"project","meta","00-meta/23-core-docs-final-verification-report.md","23-core-docs-final-verification-report","important","","",""
"project","reference","reference/changelogs/2026-07/pr-8-dedup-plan.md","pr-8-dedup-plan","important","","",""
"project","reference","reference/trade-contract.md","trade-contract","important","","",""
"project","reports","reports/retrospectives/2026-07-09-technical-sharing-ppt-outline.md","V9 项目文档化工作技术分享 PPT 大纲","standard","","",""
"project","reports","reports/changelogs/2026-07-08-documentation-summary-report.md","V9 项目文档化工作最终总结报告","standard","","",""
"project","tutorials","tutorials/getting-started.md","getting-started","important","","",""
"project","tutorials","tutorials/README.md","TODO-ADD-TITLE","reference","","",""
"qa","explanation","explanation/design/v9-code-quality-kanban-20260629.md","V9 代码质量校对分析 — 过程透明看板","important","","",""
"qa","explanation","explanation/design/automation-test-evaluation.md","V9 智能投研复盘系统 综合测试与可行性评估报告","standard","","",""
"qa","how-to","how-to/visual-regression-guide.md","visual-regression-guide","important","","",""
"qa","how-to","how-to/testing/complexity-remediation-plan.md","剩余复杂度整改任务清单与计划（2026-07-12）","standard","","",""
"qa","meta","00-meta/directory-audit-report-v1.4.3.md","P4 系统性目录梳理报告","standard","","",""
"qa","meta","00-meta/directory-structure-audit-report.md","V9 目录结构文档审计报告","standard","","",""
"qa","reference","reference/changelogs/2026-07/test-cache-fix-summary.md","测试缓存清理修复总结","standard","","",""
"qa","reference","04-testing/security-test-plan.md","security-test-plan","important","","",""
"qa","reports","reports/audit/audit-warning-report.md","V9 智能投研复盘系统 - 审计警告报告","standard","","",""
"qa","reports","reports/retrospectives/e2e-verify-redundancy-report.md","冗余设计专项端到端验证报告（R1–R5）","standard","","",""
