"doc_id","title","file_path","file_size_kb","doc_type","domain","phase","last_updated","status","archive_reason"
"V9-DOC-0050","04. UI/UX 规范","explanation/design/04-ui-ux-specs.md","17.2","design","frontend","requirements","2026-07-16","active",""
"V9-DOC-0051","06. 路由规格","explanation/design/06-routing-specs.md","21.4","design","general","requirements","2026-07-16","active",""
"V9-DOC-0052","07. 运营策略","explanation/design/07-operation-strategy.md","10.1","design","general","design","2026-07-16","active",""
"V9-DOC-0053","08. 实施计划","explanation/design/08-implementation-plan.md","16.1","design","general","design","2026-07-16","active",""
"V9-DOC-0054","09. 质量门禁","explanation/design/09-quality-gates.md","11.9","design","qa","design","2026-07-16","active",""
"V9-DOC-0055","ADR-001: 纯前端无后端架构","explanation/design/2026-06-20-pure-frontend-architecture.md","1.2","design","architecture","design","2026-07-16","active",""
"V9-DOC-0056","ADR-009: 引入热门板块与价值洼地双策略体系","explanation/design/2026-06-27-dual-strategy-system.md","9.3","design","general","design","2026-07-16","active",""
"V9-DOC-0057","V9 数据架构五大问题治理计划","explanation/design/2026-06-29-data-architecture-governance.md","19.5","design","architecture","design","2026-07-16","active",""
"V9-DOC-0058","AI 智能体调度中心 / 健康监控 / 诊断分析 — 数据字典","explanation/design/ai-center-data-definition.md","17.5","design","data","design","2026-07-16","active",""
"V9-DOC-0059","V9 数据分析与筛选模块开发任务规划与 Agent 分配","explanation/design/analysis-screening-module-dev-plan.md","16.2","design","backend","design","2026-07-16","active",""
"V9-DOC-0060","V9 智能投研复盘系统 — 架构合规审计报告（T-11 第一轮）","explanation/design/architecture-compliance-report.md","11.5","design","architecture","design","2026-07-16","active",""
"V9-DOC-0061","V9 前端应用性能质量审计报告","explanation/design/audit-b4-3-performance.md","19.6","design","qa","design","2026-07-16","active",""
"V9-DOC-0062","V9 智能投研复盘系统 — 质量审计总结报告","explanation/design/audit-summary-report.md","6.9","design","qa","design","2026-07-16","active",""
"V9-DOC-0063","V9 智能投研复盘系统 综合测试与可行性评估报告","explanation/design/automation-test-evaluation.md","10.1","design","qa","design","2026-07-16","active",""
"V9-DOC-0064","V9 自主工作流优化策略","explanation/design/autonomous-workflow-optimization.md","13.5","design","project","design","2026-07-16","active",""
"V9-DOC-0065","V9 阶段性合并报告（Batch 1-3 汇总）","explanation/design/batch-merge-reports.md","5.8","design","general","design","2026-07-16","active",""
"V9-DOC-0066","buildScoreDocDiff 修复 — 生产部署回滚预案","explanation/design/buildscoredocdiff-rollback-plan.md","14.6","design","frontend","design","2026-07-16","active",""
"V9-DOC-0067","代码审查者培训材料","explanation/design/code-review-training.md","30.7","design","ai","design","2026-07-16","active",""
"V9-DOC-0068","V9 模块完成度剖面图 — 批次 D（交易舱）","explanation/design/completeness-profile-batch4.md","6.3","design","general","design","2026-07-16","active",""
"V9-DOC-0069","V9 UI 组件库使用指南","explanation/design/component-library-guide.md","13.3","design","frontend","design","2026-07-16","active",""
"V9-DOC-0070","核心稀缺资源策略（core-scarce）","explanation/design/core-scarce-strategy.md","5.4","design","general","design","2026-07-16","active",""
"V9-DOC-0071","数据采集模块架构设计","explanation/design/data-collection-architecture.md","13.6","design","architecture","design","2026-07-16","active",""
"V9-DOC-0072","数据采集功能差距分析报告","explanation/design/data-collection-gap-analysis.md","16.2","design","backend","design","2026-07-16","active",""
"V9-DOC-0073","数据采集模块路由与UI校对分析报告","explanation/design/data-collection-route-ui-audit.md","15.7","design","frontend","design","2026-07-16","active",""
"V9-DOC-0074","Cockpit Widget 框架数据字典","explanation/design/data-definition.md","25.5","design","data","design","2026-07-16","active",""
"V9-DOC-0075","V9 数据字典索引","explanation/design/data-dictionary-index.md","12.9","design","data","design","2026-07-16","active",""
"V9-DOC-0076","V9 数据流规范","explanation/design/data-flow-spec.md","8.7","design","data","requirements","2026-07-16","active",""
"V9-DOC-0077","DataBridge 改进建议整改报告","explanation/design/databridge改进建议整改报告.md","9.3","design","data","design","2026-07-16","active",""
"V9-DOC-0078","DataBridge 数据链路全景分析报告","explanation/design/databridge数据链路全景分析报告.md","31.4","design","data","design","2026-07-16","active",""
"V9-DOC-0079","数据流引擎（DataFlow Engine）数据字典","explanation/design/dataflow-data-definition.md","6.3","design","data","design","2026-07-16","active",""
"V9-DOC-0080","Batch-1 阶段性合并报告","explanation/design/deprecated-batch1-merge-report.md","4.5","design","general","design","2026-07-16","active",""
"V9-DOC-0081","Batch-3 全量回归测试报告","explanation/design/deprecated-batch3-merge-report.md","2.1","design","general","design","2026-07-16","active",""
"V9-DOC-0082","Cockpit & News 模块文档修正方案（Phase 2-3）","explanation/design/deprecated-cockpit-news-doc-correction-plan.md","12.7","design","general","design","2026-07-16","active",""
"V9-DOC-0083","代码-文档同步差异清单","explanation/design/deprecated-doc-sync-gap-list.md","5.4","design","general","design","2026-07-16","active",""
"V9-DOC-0084","V9 并行任务调度表","explanation/design/deprecated-v9-parallel-task-schedule.md","6.6","design","general","design","2026-07-16","active",""
"V9-DOC-0085","Design Tokens 系统使用指南","explanation/design/design-tokens.md","12.6","design","frontend","design","2026-07-16","active",""
"V9-DOC-0086","七维采集配置模块 — 文档交叉检查报告","explanation/design/doc-cross-check-report.md","24.7","design","general","design","2026-07-16","active",""
"V9-DOC-0087","代码-文档同步整体方案与执行计划","explanation/design/doc-sync-execution-plan.md","12.7","design","general","design","2026-07-16","active",""
"V9-DOC-0088","文档自动化更新与交叉检查结果报告","explanation/design/doc-update-report-20260701.md","7.5","design","general","design","2026-07-16","active",""
"V9-DOC-0089","V9 双策略体系与数据流架构规格","explanation/design/dual-strategy-dataflow-spec.md","6.8","design","data","requirements","2026-07-16","active",""
"V9-DOC-0090","V9 双策略规格与现有项目差异分析报告","explanation/design/dual-strategy-gap-analysis.md","16.4","design","backend","design","2026-07-16","active",""
"V9-DOC-0091","V9 实施文档保鲜度告警清单","explanation/design/freshness-alerts.md","2","design","general","design","2026-07-16","active",""
"V9-DOC-0092","热门赛道策略（hot-momentum）","explanation/design/hot-momentum-strategy.md","7","design","general","design","2026-07-16","active",""
"V9-DOC-0093","实施治理与架构决策记录","explanation/design/implementation-governance.md","6.6","design","general","design","2026-07-16","active",""
"V9-DOC-0094","输入舱业务规格与实现映射","explanation/design/input-cabin-spec.md","9.1","design","general","requirements","2026-07-16","active",""
"V9-DOC-0095","投资流程阶段化分析：仓位、引擎、数据架构与数据交互","explanation/design/investment-pipeline-stage-analysis.md","11.8","design","backend","design","2026-07-16","active",""
"V9-DOC-0096","V9 智能投研复盘系统 - MCP 最小耦合原则合规性分析报告","explanation/design/mcp-coupling-analysis-report.md","25.2","design","backend","design","2026-07-16","active",""
"V9-DOC-0097","多因子选股筛选器数据字典","explanation/design/multi-factor-screening-data-definition.md","2.7","design","data","design","2026-07-16","active",""
"V9-DOC-0098","NewsPage（智能资讯中心）数据字典","explanation/design/news-data-definition.md","8.4","design","data","design","2026-07-16","active",""
"V9-DOC-0099","项目优化处理总结报告","explanation/design/optimization-summary-report.md","8.6","design","general","design","2026-07-16","active",""
"V9-DOC-0100","P4 文档去重清单与执行方案","explanation/design/p4-文档去重清单与执行方案.md","15.3","design","general","design","2026-07-16","active",""
"V9-DOC-0101","V9 待处理事项清单（Backlog）","explanation/design/pending-items-backlog-20260704.md","9","design","general","design","2026-07-16","active",""
"V9-DOC-0102","质量保障策略：分阶段自适应检查机制","explanation/design/quality-assurance-strategy.md","17.3","design","qa","design","2026-07-16","active",""
"V9-DOC-0103","V9 模块完成度逆向校验 — 执行计划","explanation/design/quality-audit-plan.md","11.2","design","qa","design","2026-07-16","active",""
"V9-DOC-0104","变更影响分析报告","explanation/design/refactor-impact-analysis-2026-06-27.md","13.9","design","backend","design","2026-07-16","active",""
"V9-DOC-0105","文档索引","explanation/design/registry-index.md","30.5","design","general","design","2026-07-17","active",""
"V9-DOC-0106","solo-review.md — 单人开发代码审查指南","explanation/design/solo-review.md","21.1","design","general","design","2026-07-16","active",""
"V9-DOC-0107","V9 间距令牌规范（Spacing Tokens）","explanation/design/spacing-tokens.md","5.7","design","frontend","design","2026-07-16","active",""
"V9-DOC-0108","V9 选股策略总文档","explanation/design/stock-selection-strategy.md","7.8","design","general","design","2026-07-16","active",""
"V9-DOC-0109","tech-debt.md — 技术债管理文档","explanation/design/tech-debt.md","21.3","design","general","design","2026-07-16","active",""
"V9-DOC-0110","测试扩充设计方案","explanation/design/test-expansion-design.md","24.3","design","qa","design","2026-07-16","active",""
"V9-DOC-0111","TradeReviewAI SkillDevelopment 测试说明","explanation/design/tradereviewai-skill-testing.md","4.5","design","ai","design","2026-07-16","active",""
"V9-DOC-0112","交易核心因子与复盘指标导入","explanation/design/trading-core-factors.md","9.6","design","backend","design","2026-07-16","active",""
"V9-DOC-0113","V9 UI 设计优化分布式 AGENT 任务执行清单","explanation/design/ui-design-agent-execution-plan.md","12.9","design","frontend","design","2026-07-16","active",""
"V9-DOC-0114","V9 UI 设计系统","explanation/design/ui-design-system.md","8.4","design","frontend","design","2026-07-16","active",""
"V9-DOC-0115","V6 Pro UI / Page 吸收落地总结（仅 UI 展示层，不动数据架构）","explanation/design/ui-only-implementation-summary.md","7.8","design","frontend","design","2026-07-16","active",""
"V9-DOC-0116","V9 智能投研复盘系统 — UI 改善部分检索报告","explanation/design/ui改善部分检索报告.md","7.2","design","frontend","design","2026-07-16","active",""
"V9-DOC-0117","V6 → V9 架构一致性整改行动清单","explanation/design/v6-v9-architecture-audit-action-list.md","16.9","design","architecture","design","2026-07-16","active",""
"V9-DOC-0118","V6 → V9 架构一致性审计计划","explanation/design/v6-v9-architecture-audit-plan.md","7.5","design","architecture","design","2026-07-16","active",""
"V9-DOC-0119","V6→V9 架构整改校正评估与可行性分析报告","explanation/design/v6-v9-rectification-feasibility-report.md","13.8","design","general","design","2026-07-16","active",""
"V9-DOC-0120","V6-V9 界面设计最新 HTML 精读报告","explanation/design/v6-v9界面设计html精读报告.md","11.2","design","general","design","2026-07-16","active",""
"V9-DOC-0121","V6-V9 界面设计优化详细可行性计划","explanation/design/v6-v9界面设计优化可行性计划.md","15.7","design","general","design","2026-07-16","active",""
"V9-DOC-0122","V6 Pro 备份源码/线上站点 与 V9 当前项目 UI & Page 差异全量对比报告","explanation/design/v6pro-ui-page-diff-report.md","22.7","design","frontend","design","2026-07-16","active",""
"V9-DOC-0123","V6 Pro → V9 架构差异分析报告","explanation/design/v6pro-v9-gap-analysis-final.md","8.3","design","backend","design","2026-07-16","active",""
"V9-DOC-0124","V9 双策略一致性收敛 — 验收报告","explanation/design/v9-acceptance-report.md","6.1","design","general","design","2026-07-16","active",""
"V9-DOC-0125","V9 架构资产差异分析报告（Phase 5 深层审计）","explanation/design/v9-architecture-data-diff-report.md","23.3","design","architecture","design","2026-07-16","active",""
"V9-DOC-0126","V9 架构整改总体策略与执行计划","explanation/design/v9-architecture-rectification-strategy.md","7.4","design","architecture","design","2026-07-16","active",""
"V9-DOC-0127","V9 代码质量校对分析 — 过程透明看板","explanation/design/v9-code-quality-kanban-20260629.md","21.5","design","qa","design","2026-07-16","active",""
"V9-DOC-0128","V9 智能投研复盘系统 — 当前状态全面梳理（按实施进度）","explanation/design/v9-current-state-review.md","20.5","design","general","design","2026-07-16","active",""
"V9-DOC-0129","V9 数据关系蓝图任务跟踪计划","explanation/design/v9-data-blueprint-task-tracking.md","12","design","data","design","2026-07-16","active",""
"V9-DOC-0130","V9 文档体系化审计与补全建议书","explanation/design/v9-documentation-audit-report.md","23.2","design","qa","design","2026-07-16","active",""
"V9-DOC-0131","V9 IndexedDB Store Schema 文档","explanation/design/v9-indexeddb-store-schema.md","37.4","design","data","design","2026-07-16","active",""
"V9-DOC-0132","V9 交互时序文档复核报告","explanation/design/v9-interaction-flows-review.md","4.2","design","general","design","2026-07-16","active",""
"V9-DOC-0133","V9 P0 严重问题修复方案","explanation/design/v9-p0-remediation-plan.md","33.6","design","general","design","2026-07-16","active",""
"V9-DOC-0134","V9 开发后复盘报告","explanation/design/v9-post-dev-review.md","11.2","design","general","design","2026-07-16","active",""
"V9-DOC-0135","V9 问题修复排期报告","explanation/design/v9-remediation-plan.md","8.8","design","general","design","2026-07-16","active",""
"V9-DOC-0136","V9 策略架构文档","explanation/design/v9-strategy-architecture.md","46.7","design","architecture","design","2026-07-16","active",""
"V9-DOC-0137","V9 现有数据资产清单","explanation/design/v9现有数据资产清单.md","47","design","general","design","2026-07-16","active",""
"V9-DOC-0138","价值洼地策略（value-bargain）","explanation/design/value-bargain-strategy.md","8.3","design","ai","design","2026-07-16","active",""
"V9-DOC-0139","观察仓策略（watchlist）","explanation/design/watchlist-strategy.md","6.7","design","general","design","2026-07-16","active",""
"V9-DOC-0140","本周执行任务清单（2026-07-05 至 2026-07-12）","explanation/design/weekly-tasks-2026-07-05.md","7.4","design","general","design","2026-07-16","active",""
"V9-DOC-0141","驾驶舱 Widget 集成检查清单","explanation/design/widget-integration-checklist.md","4.5","design","frontend","design","2026-07-16","active",""
"V9-DOC-0142","业务能力补充报告：自选股异动 Widget","explanation/design/业务能力补充报告_自选股异动_2026-07-09.md","2.7","design","general","design","2026-07-16","active",""
"V9-DOC-0143","双通道投研评分系统技术方案（可行性论证报告）","explanation/design/双通道投研评分系统技术方案.md","23.4","design","general","design","2026-07-16","active",""
"V9-DOC-0144","R01 发布计划与评审文档 — V9 智能投研复盘系统","explanation/design/发布计划与评审-r01.md","12.2","design","general","design","2026-07-16","active",""
"V9-DOC-0145","R03 回滚方案与演练文档 — V9 智能投研复盘系统","explanation/design/回滚方案与演练-r03.md","5.3","design","general","design","2026-07-16","active",""
"V9-DOC-0146","V9 数据治理路线图与执行优先级","explanation/design/数据治理路线图.md","17.2","design","general","design","2026-07-16","active",""
"V9-DOC-0147","踩坑规则门禁指南","explanation/design/踩坑规则门禁指南.md","13.7","design","general","design","2026-07-16","active",""
"V9-DOC-0148","迁移风险复盘与应对策略文档","explanation/design/迁移风险复盘与应对策略文档.md","13.2","design","general","design","2026-07-16","active",""
"V9-DOC-0149","10. 领域词汇表","explanation/10-glossary.md","16.2","other","general","general","2026-07-16","active",""
"V9-DOC-0150","ADR-005: PortalShell 深色 Kimi 经典布局","explanation/2026-06-23-portalshell-dark-kimi-layout.md","1.1","other","general","general","2026-07-16","active",""
"V9-DOC-0151","ADR-006: 输入舱拆分为四子页面","explanation/2026-06-24-input-cabin-subpages.md","1.2","other","general","general","2026-07-16","active",""
"V9-DOC-0152","ADR-007: 补齐筛选引擎、信号持久化与复盘引擎","explanation/2026-06-24-pool-screening-signal-persistence-review-engine.md","3.4","other","backend","general","2026-07-16","active",""
"V9-DOC-0153","ADR-009: V6 Pro JSON 全量导出迁移至 V9 IndexedDB","explanation/2026-06-25-v6-migration.md","5.6","other","general","general","2026-07-16","active",""
"V9-DOC-0154","ADR-009: 引入热门板块与价值洼地双策略体系","explanation/2026-06-27-dual-strategy-system.md","9.3","other","general","general","2026-07-16","active",""
"V9-DOC-0155","评分引擎异常处理优化测试报告","explanation/2026-07-05-exception-handling-test-report.md","14.5","other","qa","testing","2026-07-16","active",""
"V9-DOC-0156","V9 文档体系 — A-H 分类索引（真实映射）","explanation/A-H-INDEX.md","4.2","other","general","general","2026-07-17","active",""
"V9-DOC-0157","V9 无障碍（Accessibility）检查清单","explanation/a11y-checklist.md","5.9","other","general","general","2026-07-16","active",""
"V9-DOC-0158","T-09 WCAG 对比度复核报告","explanation/a11y-contrast-report.md","9","other","general","retrospective","2026-07-16","active",""
"V9-DOC-0159","无障碍与国际化指南（A11y & i18n）","explanation/a11y-i18n.md","1.7","other","general","general","2026-07-16","active",""
"V9-DOC-0160","V9 五层追溯审计 — 修复行动清单","explanation/action-list.md","12.9","other","general","general","2026-07-16","active",""
"V9-DOC-0161","ADR-001: 纯前端无后端架构","explanation/adr-001-pure-frontend-architecture.md","6","other","architecture","design","2026-07-16","active",""
"V9-DOC-0162","ADR-004: HashRouter 静态托管方案","explanation/adr-004-hashrouter-static-hosting.md","4","other","architecture","design","2026-07-16","active",""
"V9-DOC-0163","ADR-005: PortalShell 深色 Kimi 经典布局","explanation/adr-005-portalshell-dark-kimi-layout.md","4.3","other","architecture","design","2026-07-16","active",""
"V9-DOC-0164","ADR-007: 补齐筛选引擎、信号持久化与复盘引擎","explanation/adr-007-screening-signal-persistence-review.md","4.7","other","architecture","design","2026-07-16","active",""
"V9-DOC-0165","ADR-008: 采用 V6 核心资源交易策略","explanation/adr-008-v6-core-resource-trading-strategy.md","4.4","other","architecture","design","2026-07-16","active",""
"V9-DOC-0166","ADR-009: 引入热门板块与价值洼地双策略体系","explanation/adr-009-dual-strategy-system.md","5.5","other","architecture","design","2026-07-16","active",""
"V9-DOC-0167","DEPRECATED - ai-center-data-definition.md","explanation/ai-center-data-definition.md","17.9","other","data","general","2026-07-16","active",""
"V9-DOC-0168","AI 中心 Vue3 组件示例","explanation/ai-center-vue3-examples.md","15.2","other","ai","general","2026-07-16","active",""
"V9-DOC-0169","AI 生成—审计—修正飞轮","explanation/ai-generate-audit-fix-loop.md","4.8","other","ai","testing","2026-07-16","active",""
"V9-DOC-0170","项目专属 AI 记忆层（RAG）","explanation/ai-memory-layer.md","2.2","other","architecture","general","2026-07-16","active",""
"V9-DOC-0171","架构设计文档版本比对","explanation/architecture-version-comparison.md","13.1","other","architecture","design","2026-07-16","active",""
"V9-DOC-0172","智能投研复盘系统 V9 — 驾驶舱 Widget 架构说明","explanation/ARCHITECTURE.md","15","other","architecture","design","2026-07-16","active",""
"V9-DOC-0173","V9 前端应用测试质量审计报告","explanation/audit-b4-2-test-quality.md","19.8","other","qa","testing","2026-07-16","active",""
"V9-DOC-0174","B 批次组件集成测试报告（B-6）","explanation/b批次组件集成测试报告-b6-2026-07-08.md","4.8","other","general","general","2026-07-16","active",""
"V9-DOC-0175","B 批次高价值孤儿组件集成状态报告","explanation/b批次高价值孤儿集成状态报告-2026-07-08.md","6.6","other","general","general","2026-07-16","active",""
"V9-DOC-0176","V9 舱室总览（Cabins Overview）","explanation/cabins-overview.md","4.8","other","general","general","2026-07-16","active",""
"V9-DOC-0177","V9 模块完成度剖面图 — 批次 B（输入舱）","explanation/completeness-profile-batch2.md","7.2","other","general","general","2026-07-16","active",""
"V9-DOC-0178","V9 模块完成度剖面图 — 批次 C（分析舱）","explanation/completeness-profile-batch3.md","9.4","other","general","general","2026-07-16","active",""
"V9-DOC-0179","V9 模块完成度剖面图 — 批次 D（交易舱）","explanation/completeness-profile-batch4.md","6.3","other","general","general","2026-07-16","active",""
"V9-DOC-0180","V9 批次 E：输出舱 + 总控舱 + 其他 — 完成度剖面图","explanation/completeness-profile-batch5.md","6.3","other","general","general","2026-07-16","active",""
"V9-DOC-0181","V9 模块完成度剖面图 — 全量汇总","explanation/completeness-profile.md","15.4","other","general","general","2026-07-16","active",""
"V9-DOC-0182","代码复杂度治理规范","explanation/complexity-redlines.md","3.7","other","general","general","2026-07-16","active",""
"V9-DOC-0183","剩余复杂度整改任务清单与计划（2026-07-12）","explanation/complexity-remediation-plan.md","16.4","other","general","general","2026-07-16","active",""
"V9-DOC-0184","V9 组件弃用政策","explanation/component-deprecation-policy.md","6.3","other","frontend","general","2026-07-16","active",""
"V9-DOC-0185","V9 智能投研复盘系统 — 核心数据策略报告","explanation/core-data-strategy-report.md","48.4","other","data","retrospective","2026-07-16","active",""
"V9-DOC-0186","数据采集模块架构设计","explanation/data-collection-architecture.md","13.6","other","architecture","design","2026-07-16","active",""
"V9-DOC-0187","V9 数据层总览","explanation/data-layer-overview.md","27.2","other","architecture","general","2026-07-16","active",""
"V9-DOC-0188","DEPRECATED - dataflow-data-definition.md","explanation/dataflow-data-definition.md","6.7","other","data","general","2026-07-16","active",""
"V9-DOC-0189","V6ProDB IndexedDB 升级规范（v4 → v6）","explanation/db-migration-v4-to-v6.md","6.1","other","general","general","2026-07-16","active",""
"V9-DOC-0190","Batch-2 阶段性合并报告","explanation/deprecated-batch2-merge-report.md","3.1","other","general","retrospective","2026-07-16","active",""
"V9-DOC-0191","V9 问题整改调度表","explanation/deprecated-v9-issue-resolution-schedule.md","13.6","other","general","general","2026-07-16","active",""
"V9-DOC-0192","Design Tokens 系统使用指南","explanation/design-tokens.md","12.6","other","frontend","design","2026-07-16","active",""
"V9-DOC-0193","V9 双策略规格与现有项目差异分析报告","explanation/dual-strategy-gap-analysis.md","16.4","other","backend","general","2026-07-16","active",""
"V9-DOC-0194","因子提炼、扩容与追踪路径分析","explanation/factor-tracking-roadmap.md","5.6","other","general","planning","2026-07-16","active",""
"V9-DOC-0195","V9 功能入口清单","explanation/feature-entry-list.md","6.4","other","general","general","2026-07-16","active",""
"V9-DOC-0196","V9 操作反馈闭环规格","explanation/feedback-loop-spec.md","6.5","other","general","requirements","2026-07-16","active",""
"V9-DOC-0197","JSDoc 编写规范","explanation/jsdoc-convention.md","3.9","other","general","general","2026-07-16","active",""
"V9-DOC-0198","Kimi WebBridge 插件","explanation/kimi-webbridge.md","8.3","other","general","general","2026-07-16","active",""
"V9-DOC-0199","新闻模块 — useState → Zustand 迁移文档","explanation/migration-news-useState-to-zustand.md","6.9","other","general","general","2026-07-16","active",""
"V9-DOC-0200","DEPRECATED - multi-factor-screening-data-definition.md","explanation/multi-factor-screening-data-definition.md","3.1","other","data","general","2026-07-16","active",""
